City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
278,Malindi,KE,2022-02-09 23:29:18,-3.2175,40.1191,76.28,88,80,10.02
279,Balatonfured,HU,2022-02-09 23:29:19,46.9619,17.8719,43.36,54,1,4.0
280,Saveh,IR,2022-02-09 23:29:19,35.0213,50.3566,46.42,36,48,3.44
281,Suamico,US,2022-02-09 23:29:20,44.6319,-88.0393,37.18,70,100,10.36
282,Knysna,ZA,2022-02-09 23:29:20,-34.0363,23.0471,70.18,77,32,5.14
283,Sehithwa,BW,2022-02-09 23:29:21,-20.4667,22.7167,77.68,40,82,4.03
284,Eskisehir,TR,2022-02-09 23:29:21,39.7767,30.5206,31.91,74,75,13.8
285,Jibuti,DJ,2022-02-09 23:29:22,11.5,42.5,69.22,77,1,16.82
286,Yashkino,RU,2022-02-09 23:29:22,55.8736,85.4265,-12.64,91,8,10.67
287,Krasnoarmeysk,RU,2022-02-09 23:29:23,51.0239,45.6969,27.16,98,100,3.6
288,Plouzane,FR,2022-02-09 23:29:23,48.3833,-4.6167,46.72,97,100,10.36
289,Tulun,RU,2022-02-09 23:29:24,54.5611,100.5792,-15.88,100,98,2.82
290,Pisco,PE,2022-02-09 23:24:55,-13.7,-76.2167,72.01,83,0,6.91
291,Ainazi,LV,2022-02-09 23:29:24,57.8636,24.3578,36.39,83,86,22.7
